File, Rows, Columns, NonzeroEntries, Coordinate_Bytes, CSR_Bytes, SCSR_Bytes: 
bcsstm20.mtx, 485, 485, 485, 9700, 5824, 3884
bcsstm22.mtx, 138, 138, 138, 2760, 1660, 1108
bcsstm34.mtx, 588, 588, 12429, 248580, 101788, 75754
beacxc.mtx, 497, 506, 50409, 1008180, 405072, 303356
beaflw.mtx, 497, 507, 53403, 1068060, 429196, 321406
beause.mtx, 497, 507, 44551, 891020, 358380, 268294
bfwa398.mtx, 398, 398, 3678, 73560, 31020, 22868
bfwa62.mtx, 62, 62, 450, 9000, 3852, 2828
bfwa782.mtx, 782, 782, 7514, 150280, 63244, 46652
bfwb398.mtx, 398, 398, 1654, 33080, 14828, 10724
bfwb62.mtx, 62, 62, 202, 4040, 1868, 1340
bfwb782.mtx, 782, 782, 3382, 67640, 30188, 21860
bibd_11_5.mtx, 55, 462, 4620, 83160, 27944, 18594
bibd_12_4.mtx, 66, 495, 2970, 53460, 18088, 12016
bibd_12_5.mtx, 66, 792, 7920, 142560, 47788, 31816
bibd_15_3.mtx, 105, 455, 1365, 24570, 8614, 5674
bibd_17_3.mtx, 136, 680, 2040, 36720, 12788, 8436
bibd_9_3.mtx, 36, 84, 252, 4536, 1660, 1084
bibd_9_5.mtx, 36, 126, 1260, 22680, 7708, 5116
bp_0.mtx, 822, 822, 3276, 65520, 29500, 21304
bp_1000.mtx, 822, 822, 4661, 93220, 40580, 29614
bp_1200.mtx, 822, 822, 4726, 94520, 41100, 30004
bp_1400.mtx, 822, 822, 4790, 95800, 41612, 30388
bp_1600.mtx, 822, 822, 4841, 96820, 42020, 30694
bp_200.mtx, 822, 822, 3802, 76040, 33708, 24460
bp_400.mtx, 822, 822, 4028, 80560, 35516, 25816
bp_600.mtx, 822, 822, 4172, 83440, 36668, 26680
bp_800.mtx, 822, 822, 4534, 90680, 39564, 28852
bwm200.mtx, 200, 200, 796, 15920, 7172, 5180
cage.mtx, 366, 366, 2562, 46116, 16840, 10980
cage3.mtx, 5, 5, 19, 380, 176, 128
cage4.mtx, 9, 9, 49, 980, 432, 316
cage5.mtx, 37, 37, 233, 4660, 2016, 1476
cage6.mtx, 93, 93, 785, 15700, 6656, 4900
cage7.mtx, 340, 340, 3084, 61680, 26036, 19188
CAG_mat364.mtx, 364, 364, 13585, 271700, 110140, 82242
CAG_mat72.mtx, 72, 72, 1012, 20240, 8388, 6220
can_144.mtx, 144, 144, 720, 12960, 4900, 3172
can_161.mtx, 161, 161, 769, 13842, 5262, 3402
can_187.mtx, 187, 187, 839, 15102, 5786, 3734
can_229.mtx, 229, 229, 1003, 18054, 6938, 4474
can_24.mtx, 24, 24, 92, 1656, 652, 420
can_256.mtx, 256, 256, 1586, 28548, 10544, 6860
can_268.mtx, 268, 268, 1675, 30150, 11126, 7240
can_292.mtx, 292, 292, 1416, 25488, 9668, 6252
can_445.mtx, 445, 445, 2127, 38286, 14546, 9402
can_61.mtx, 61, 61, 309, 5562, 2102, 1362
can_62.mtx, 62, 62, 140, 2520, 1092, 688
can_634.mtx, 634, 634, 3931, 70758, 26126, 16996
can_715.mtx, 715, 715, 3690, 66420, 25004, 16194
can_73.mtx, 73, 73, 225, 4050, 1646, 1050
can_838.mtx, 838, 838, 5424, 97632, 35900, 23376
can_96.mtx, 96, 96, 432, 7776, 2980, 1924
cat_ears_2_1.mtx, 85, 85, 254, 4572, 1868, 1190
cat_ears_3_1.mtx, 204, 181, 542, 9756, 4072, 2580
cat_ears_4_1.mtx, 377, 313, 938, 16884, 7140, 4510
cavity01.mtx, 317, 317, 7327, 146540, 59888, 44600
cavity02.mtx, 317, 317, 7327, 146540, 59888, 44600
cavity03.mtx, 317, 317, 7327, 146540, 59888, 44600
cavity04.mtx, 317, 317, 7327, 146540, 59888, 44600
cdde1.mtx, 961, 961, 4681, 93620, 41296, 30012
cdde2.mtx, 961, 961, 4681, 93620, 41296, 30012
cdde3.mtx, 961, 961, 4681, 93620, 41296, 30012
cdde4.mtx, 961, 961, 4681, 93620, 41296, 30012
cdde5.mtx, 961, 961, 4681, 93620, 41296, 30012
cdde6.mtx, 961, 961, 4681, 93620, 41296, 30012
celegansneural.mtx, 297, 297, 2345, 46900, 19940, 14662
celegans_metabolic.mtx, 453, 453, 2040, 40800, 17848, 13004
ch3-3-b1.mtx, 18, 9, 36, 720, 364, 256
ch3-3-b2.mtx, 6, 18, 18, 360, 172, 124
ch4-4-b1.mtx, 72, 16, 144, 2880, 1444, 1012
ch4-4-b2.mtx, 96, 72, 288, 5760, 2692, 1924
ch4-4-b3.mtx, 24, 96, 96, 1920, 868, 628
ch5-5-b1.mtx, 200, 25, 400, 8000, 4004, 2804
ch5-5-b2.mtx, 600, 200, 1800, 36000, 16804, 12004
ch5-5-b3.mtx, 600, 600, 2400, 48000, 21604, 15604
ch5-5-b4.mtx, 120, 600, 600, 12000, 5284, 3844
ch6-6-b1.mtx, 450, 36, 900, 18000, 9004, 6304
ch7-6-b1.mtx, 630, 42, 1260, 25200, 12604, 8824
ch7-7-b1.mtx, 882, 49, 1764, 35280, 17644, 12352
Chebyshev1.mtx, 261, 261, 2319, 46380, 19600, 14440
chesapeake.mtx, 39, 39, 170, 3060, 1164, 752
cis-n4c6-b1.mtx, 210, 21, 420, 8400, 4204, 2944
cis-n4c6-b15.mtx, 60, 920, 960, 19200, 7924, 5884
Cities.mtx, 55, 46, 1342, 26840, 10960, 8166
ck104.mtx, 104, 104, 992, 19840, 8356, 6164
ck400.mtx, 400, 400, 2860, 57200, 24484, 17964
ck656.mtx, 656, 656, 3884, 77680, 33700, 24620
curtis54.mtx, 54, 54, 291, 5238, 1966, 1276
cz148.mtx, 148, 148, 1527, 30540, 12812, 9462
cz308.mtx, 308, 308, 3182, 63640, 26692, 19712
cz628.mtx, 628, 628, 6346, 126920, 53284, 39336
dendrimer.mtx, 730, 730, 31877, 637540, 257940, 192726
divorce.mtx, 50, 9, 225, 4050, 1554, 1004
DK01R.mtx, 903, 903, 11766, 235320, 97744, 72406
dolphins.mtx, 62, 62, 159, 2862, 1162, 740
dw256A.mtx, 512, 512, 2480, 49600, 21892, 15908
dw256B.mtx, 512, 512, 2500, 50000, 22052, 16028
dwa512.mtx, 512, 512, 2480, 49600, 21892, 15908
dwb512.mtx, 512, 512, 2500, 50000, 22052, 16028
dwt_162.mtx, 162, 162, 672, 12096, 4684, 3016
dwt_193.mtx, 193, 193, 1843, 33174, 11834, 7762
dwt_198.mtx, 198, 198, 795, 14310, 5566, 3580
dwt_209.mtx, 209, 209, 976, 17568, 6696, 4326
dwt_221.mtx, 221, 221, 925, 16650, 6438, 4146
dwt_234.mtx, 234, 234, 534, 9612, 4144, 2608
dwt_245.mtx, 245, 245, 853, 15354, 6102, 3906
dwt_307.mtx, 307, 307, 1415, 25470, 9722, 6278
dwt_310.mtx, 310, 310, 1379, 24822, 9518, 6140
dwt_346.mtx, 346, 346, 1786, 32148, 12104, 7840
dwt_361.mtx, 361, 361, 1657, 29826, 11390, 7354
dwt_419.mtx, 419, 419, 1991, 35838, 13626, 8806
dwt_492.mtx, 492, 492, 1824, 32832, 12916, 8284
dwt_503.mtx, 503, 503, 3265, 58770, 21606, 14070
dwt_512.mtx, 512, 512, 2007, 36126, 14094, 9056
dwt_59.mtx, 59, 59, 163, 2934, 1218, 774
dwt_592.mtx, 592, 592, 2848, 51264, 19460, 12580
dwt_607.mtx, 607, 607, 2869, 51642, 19646, 12694
dwt_66.mtx, 66, 66, 193, 3474, 1426, 908
dwt_72.mtx, 72, 72, 147, 2646, 1174, 736
dwt_758.mtx, 758, 758, 3376, 60768, 23292, 15024
dwt_869.mtx, 869, 869, 4077, 73386, 27942, 18050
dwt_87.mtx, 87, 87, 314, 5652, 2236, 1434
dwt_878.mtx, 878, 878, 4163, 74934, 28494, 18412
dwt_918.mtx, 918, 918, 4151, 74718, 28582, 18444
dwt_992.mtx, 992, 992, 8868, 159624, 57180, 37460
dynamicSoaringProblem_1.mtx, 647, 647, 2865, 57300, 25512, 18488
D_10.mtx, 460, 816, 7614, 152280, 62752, 46606
D_11.mtx, 169, 461, 2952, 59040, 24296, 18054
D_5.mtx, 434, 115, 1832, 36640, 16380, 11856
D_6.mtx, 970, 435, 6491, 129820, 55800, 40884
d_dyn.mtx, 87, 87, 238, 4760, 2256, 1606
d_dyn1.mtx, 87, 87, 238, 4760, 2256, 1606
d_ss.mtx, 53, 53, 149, 2980, 1408, 1004
Erdos971.mtx, 472, 472, 1314, 23652, 9164, 5896
Erdos981.mtx, 485, 485, 1381, 24858, 9606, 6184
Erdos991.mtx, 492, 492, 1417, 25506, 9846, 6340
ex1.mtx, 560, 560, 4368, 78624, 28444, 18588
ex2.mtx, 560, 560, 4368, 78624, 28444, 18588
ex21.mtx, 656, 656, 19144, 382880, 155780, 116180
ex22.mtx, 839, 839, 22715, 454300, 185080, 137972
ex25.mtx, 848, 848, 24612, 492240, 200292, 149372
ex27.mtx, 974, 974, 40782, 815640, 330156, 246644
ex5.mtx, 27, 27, 153, 3060, 1336, 976
farm.mtx, 7, 17, 41, 820, 360, 264
flower_4_1.mtx, 121, 129, 386, 6948, 2804, 1790
flower_5_1.mtx, 211, 201, 602, 10836, 4460, 2834
flower_7_1.mtx, 463, 393, 1178, 21204, 8924, 5642
flower_8_1.mtx, 625, 513, 1538, 27684, 11732, 7406
football.mtx, 35, 35, 118, 2360, 1052, 764
freeFlyingRobot_1.mtx, 798, 798, 2861, 57220, 26084, 18766
fs_183_1.mtx, 183, 183, 1069, 21380, 9288, 6784
fs_183_3.mtx, 183, 183, 1069, 21380, 9288, 6784
fs_183_4.mtx, 183, 183, 1069, 21380, 9288, 6784
fs_183_6.mtx, 183, 183, 1069, 21380, 9288, 6784
fs_541_1.mtx, 541, 541, 4285, 85700, 36448, 26796
fs_541_2.mtx, 541, 541, 4285, 85700, 36448, 26796
fs_541_3.mtx, 541, 541, 4285, 85700, 36448, 26796
fs_541_4.mtx, 541, 541, 4285, 85700, 36448, 26796
fs_680_1.mtx, 680, 680, 2646, 52920, 23892, 17240
fs_680_2.mtx, 680, 680, 2646, 52920, 23892, 17240
fs_680_3.mtx, 680, 680, 2646, 52920, 23892, 17240
fs_760_1.mtx, 760, 760, 5976, 119520, 50852, 37380
fs_760_2.mtx, 760, 760, 5976, 119520, 50852, 37380
fs_760_3.mtx, 760, 760, 5976, 119520, 50852, 37380
G1.mtx, 800, 800, 19176, 345168, 118196, 78274
G10.mtx, 800, 800, 19176, 383520, 156532, 116618
G11.mtx, 800, 800, 1600, 32000, 16004, 11200
G12.mtx, 800, 800, 1600, 32000, 16004, 11200
G13.mtx, 800, 800, 1600, 32000, 16004, 11200
G14.mtx, 800, 800, 4694, 84492, 31368, 20376
G15.mtx, 800, 800, 4661, 83898, 31170, 20244
G16.mtx, 800, 800, 4672, 84096, 31236, 20288
G17.mtx, 800, 800, 4667, 84006, 31206, 20268
G18.mtx, 800, 800, 4694, 93880, 40756, 29764
G19.mtx, 800, 800, 4661, 93220, 40492, 29566
G2.mtx, 800, 800, 19176, 345168, 118200, 78276
G20.mtx, 800, 800, 4672, 93440, 40580, 29632
G21.mtx, 800, 800, 4667, 93340, 40540, 29602
G3.mtx, 800, 800, 19176, 345168, 118180, 78266
G4.mtx, 800, 800, 19176, 345168, 118220, 78286
G43.mtx, 1000, 1000, 9990, 179820, 63744, 41862
G44.mtx, 1000, 1000, 9990, 179820, 63748, 41864
G45.mtx, 1000, 1000, 9990, 179820, 63768, 41874
G46.mtx, 1000, 1000, 9990, 179820, 63768, 41874
G47.mtx, 1000, 1000, 9990, 179820, 63764, 41872
G5.mtx, 800, 800, 19176, 345168, 118180, 78266
G51.mtx, 1000, 1000, 5909, 106362, 39458, 25636
G52.mtx, 1000, 1000, 5916, 106488, 39500, 25664
G53.mtx, 1000, 1000, 5914, 106452, 39488, 25656
G54.mtx, 1000, 1000, 5916, 106488, 39500, 25664
G6.mtx, 800, 800, 19176, 383520, 156548, 116626
G7.mtx, 800, 800, 19176, 383520, 156552, 116628
G8.mtx, 800, 800, 19176, 383520, 156532, 116618
G9.mtx, 800, 800, 19176, 383520, 156572, 116638
gams10a.mtx, 114, 171, 407, 8140, 3716, 2674
gams10am.mtx, 114, 171, 407, 8140, 3716, 2674
gams30a.mtx, 354, 531, 1287, 25740, 11716, 8434
gams30am.mtx, 354, 531, 1287, 25740, 11716, 8434
gas11.mtx, 459, 862, 2166, 43320, 19168, 13918
GD00_a.mtx, 352, 352, 458, 8244, 3860, 2390
GD00_c.mtx, 638, 638, 1041, 20820, 10048, 7108
GD01_a.mtx, 311, 311, 645, 12900, 5952, 4266
GD01_Acap.mtx, 953, 953, 645, 12900, 5952, 4266
GD01_b.mtx, 18, 18, 37, 666, 298, 188
GD01_c.mtx, 33, 33, 135, 2700, 1204, 874
GD02_a.mtx, 23, 23, 87, 1566, 614, 396
GD02_b.mtx, 80, 80, 232, 4176, 1708, 1088
GD06_theory.mtx, 101, 101, 190, 3420, 1548, 962
GD95_a.mtx, 36, 36, 57, 1026, 482, 300
GD95_b.mtx, 73, 73, 96, 1728, 740, 468
GD95_c.mtx, 62, 62, 287, 5166, 1974, 1276
GD96_b.mtx, 111, 111, 193, 3474, 1530, 958
GD96_c.mtx, 65, 65, 125, 2250, 962, 606
GD96_d.mtx, 180, 180, 229, 4122, 1830, 1146
GD97_a.mtx, 84, 84, 166, 2988, 1264, 798
GD97_b.mtx, 47, 47, 132, 2640, 1244, 884
GD97_c.mtx, 452, 452, 460, 9200, 3940, 2892
GD98_a.mtx, 38, 38, 50, 900, 368, 236
GD98_b.mtx, 121, 121, 207, 3726, 1730, 1074
GD98_c.mtx, 112, 112, 168, 3024, 1328, 832
GD99_b.mtx, 64, 64, 127, 2540, 1232, 870
GD99_c.mtx, 105, 105, 149, 2682, 1166, 734
gent113.mtx, 113, 113, 655, 11790, 4386, 2850
GL6_D_10.mtx, 163, 341, 2053, 41060, 17076, 12646
GL6_D_6.mtx, 469, 201, 2526, 50520, 22072, 16090
GL6_D_7.mtx, 636, 470, 5378, 107560, 45572, 33544
GL6_D_8.mtx, 544, 637, 6153, 123060, 51396, 38006
GL6_D_9.mtx, 340, 545, 4349, 86980, 36152, 26776
GL7d10.mtx, 1, 60, 8, 160, 72, 54
GlossGT.mtx, 72, 72, 122, 2196, 976, 612
goddardRocketProblem_1.mtx, 831, 831, 4457, 89140, 38984, 28408
goddardRocketProblem_2.mtx, 867, 867, 4746, 94920, 41440, 30214
gre_115.mtx, 115, 115, 421, 8420, 3832, 2760
gre_185.mtx, 185, 185, 1005, 20100, 8784, 6404
gre_216a.mtx, 216, 216, 876, 17520, 7876, 5692
gre_216b.mtx, 216, 216, 876, 17520, 7876, 5692
gre_343.mtx, 343, 343, 1435, 28700, 12856, 9300
gre_512.mtx, 512, 512, 2192, 43840, 19588, 14180
grid1.mtx, 252, 252, 476, 8568, 3592, 2272
grid1_dual.mtx, 224, 224, 420, 7560, 3200, 2020
gr_30_30.mtx, 900, 900, 4322, 86440, 38180, 27736
Hamrle1.mtx, 32, 32, 98, 1960, 916, 656
hangGlider_1.mtx, 360, 360, 1838, 36760, 16148, 11752
Harvard500.mtx, 500, 500, 2636, 47448, 17820, 11548
hor_131.mtx, 434, 434, 4710, 94200, 39420, 29132
ibm32.mtx, 32, 32, 126, 2268, 888, 572
IG5-10.mtx, 652, 976, 10273, 205460, 84796, 62946
IG5-6.mtx, 30, 77, 251, 5020, 2132, 1570
IG5-7.mtx, 62, 150, 549, 10980, 4644, 3422
IG5-8.mtx, 156, 292, 1711, 34220, 14316, 10582
IG5-9.mtx, 342, 540, 4570, 91400, 37932, 28108
impcol_a.mtx, 207, 207, 572, 11440, 5408, 3850
impcol_b.mtx, 59, 59, 312, 6240, 2736, 1994
impcol_c.mtx, 137, 137, 411, 8220, 3840, 2744
impcol_d.mtx, 425, 425, 1339, 26780, 12416, 8888
impcol_e.mtx, 225, 225, 1308, 26160, 11368, 8302
jagmesh1.mtx, 936, 936, 3600, 64800, 25348, 16276
jazz.mtx, 198, 198, 2742, 54840, 22668, 16818
jgl009.mtx, 9, 9, 50, 900, 340, 222
jgl011.mtx, 11, 11, 76, 1368, 504, 330
Journals.mtx, 124, 124, 6096, 121920, 49268, 36828
jpwh_991.mtx, 991, 991, 6027, 120540, 52184, 38148
karate.mtx, 34, 34, 78, 1404, 576, 364
kleemin.mtx, 8, 16, 44, 880, 388, 284
klein-b1.mtx, 30, 10, 60, 1200, 604, 424
