File, Rows, Columns, NonzeroEntries, Coordinate_Bytes, CSR_Bytes, SCSR_Bytes: 
mesh3em5.mtx, 289, 289, 1089, 21780, 9872, 7116
mhda416.mtx, 416, 416, 8562, 171240, 70164, 52208
mhdb416.mtx, 416, 416, 1364, 27280, 12580, 9020
mk10-b1.mtx, 630, 45, 1260, 25200, 12604, 8824
mk11-b1.mtx, 990, 55, 1980, 39600, 19804, 13864
mk9-b1.mtx, 378, 36, 756, 15120, 7564, 5296
model1.mtx, 362, 798, 3028, 60560, 25676, 18896
msc00726.mtx, 726, 726, 17622, 352440, 143884, 107188
mycielskian10.mtx, 767, 767, 22196, 399528, 136248, 90318
mycielskian2.mtx, 2, 2, 1, 18, 18, 8
mycielskian3.mtx, 5, 5, 5, 90, 54, 30
mycielskian4.mtx, 11, 11, 20, 360, 168, 102
mycielskian5.mtx, 23, 23, 71, 1278, 522, 330
mycielskian6.mtx, 47, 47, 236, 4248, 1608, 1038
mycielskian7.mtx, 95, 95, 755, 13590, 4914, 3210
mycielskian8.mtx, 191, 191, 2360, 42480, 14928, 9822
mycielskian9.mtx, 383, 383, 7271, 130878, 45162, 29850
n2c6-b1.mtx, 105, 15, 210, 4200, 2104, 1474
n2c6-b10.mtx, 30, 306, 330, 6600, 2764, 2044
n2c6-b2.mtx, 455, 105, 1365, 27300, 12744, 9104
n3c5-b1.mtx, 45, 10, 90, 1800, 904, 634
n3c5-b2.mtx, 120, 45, 360, 7200, 3364, 2404
n3c5-b3.mtx, 210, 120, 840, 16800, 7564, 5464
n3c5-b4.mtx, 252, 210, 1260, 25200, 11092, 8068
n3c5-b5.mtx, 210, 252, 1260, 25200, 10924, 7984
n3c5-b6.mtx, 120, 210, 840, 16800, 7204, 5284
n3c5-b7.mtx, 30, 120, 240, 4800, 2044, 1504
n3c6-b1.mtx, 105, 105, 210, 4200, 2104, 1474
n3c6-b11.mtx, 60, 675, 720, 14400, 6004, 4444
n3c6-b2.mtx, 455, 105, 1365, 27300, 12744, 9104
n4c5-b1.mtx, 105, 15, 210, 4200, 2104, 1474
n4c5-b10.mtx, 120, 630, 1320, 26400, 11044, 8164
n4c5-b11.mtx, 10, 120, 120, 2400, 1004, 744
n4c5-b2.mtx, 455, 105, 1365, 27300, 12744, 9104
n4c6-b1.mtx, 210, 21, 420, 8400, 4204, 2944
n4c6-b15.mtx, 60, 920, 960, 19200, 7924, 5884
netz4504_dual.mtx, 615, 615, 1171, 21078, 9450, 5894
nnc261.mtx, 261, 261, 1500, 30000, 13048, 9526
nnc666.mtx, 666, 666, 4044, 80880, 35020, 25600
nos1.mtx, 237, 237, 627, 12540, 5968, 4240
nos2.mtx, 957, 957, 2547, 50940, 24208, 17200
nos3.mtx, 960, 960, 8402, 168040, 71060, 52336
nos4.mtx, 100, 100, 347, 6940, 3180, 2286
nos5.mtx, 468, 468, 2820, 56400, 24436, 17860
nos6.mtx, 675, 675, 1965, 39300, 18424, 13144
nos7.mtx, 729, 729, 2673, 53460, 24304, 17500
nsic.mtx, 465, 897, 3449, 68980, 29456, 21628
odepa400.mtx, 400, 400, 1201, 24020, 11212, 8010
odepb400.mtx, 400, 400, 399, 7980, 4792, 3196
olm100.mtx, 100, 100, 396, 7920, 3572, 2580
olm1000.mtx, 1000, 1000, 3996, 79920, 35972, 25980
olm500.mtx, 500, 500, 1996, 39920, 17972, 12980
orbitRaising_1.mtx, 442, 442, 1573, 31460, 14356, 10326
orbitRaising_2.mtx, 739, 739, 3464, 69280, 30672, 22266
orbitRaising_3.mtx, 761, 761, 3256, 65120, 29096, 21062
orbitRaising_4.mtx, 915, 915, 4144, 82880, 36816, 26698
orsirr_2.mtx, 886, 886, 5970, 119400, 51308, 37596
oscil_dcop_01.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_02.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_03.mtx, 430, 430, 1544, 30880, 14076, 10128
oscil_dcop_04.mtx, 430, 430, 1544, 30880, 14076, 10128
