File; Object; Format; Symmetry; Rows; Columns; NonzeroEntries; FieldType; MinValue; MaxValue; Coordinate_RIB; Coordinate_CIB; Coordinate_VB; Coordinate_Bytes; CSR_Bytes; SCSR_Bytes; SCSR+_Bytes
shl_0.mtx; Matrix; Coordinate; General; 663; 663; 1687; Integer; -1; 4055; 2; 2; 4; 13496; 11450; 11450; 8076
shl_200.mtx; Matrix; Coordinate; General; 663; 663; 1726; Integer; -1; 4055; 2; 2; 4; 13808; 11684; 11684; 8232
shl_400.mtx; Matrix; Coordinate; General; 663; 663; 1712; Integer; -1; 4055; 2; 2; 4; 13696; 11600; 11600; 8176
shyy161.mtx; Matrix; Coordinate; General; 76480; 76480; 329762; Real; -26.2022; 35.4435; 4; 4; 4; 3957144; 2944020; 2131866; 1142580
Si2.mtx; Matrix; Coordinate; Symmetric; 769; 769; 9285; Real; -4.62861; 21.7297; 2; 2; 4; 148560; 108346; 108346; 54943
SmallW.mtx; Matrix; Coordinate; General; 396; 396; 994; Integer; 2; 2; 2; 2; 4; 7952; 6164; 6164; 3182
smallworld.mtx; Matrix; Coordinate; Symmetric; 100000; 100000; 499998; Pattern; 1; 1; 4; 4; 2; 9999960; 6399980; 4316842; 2316850
soc-Epinions1.mtx; Matrix; Coordinate; General; 75888; 75888; 508837; Pattern; 1; 1; 4; 4; 2; 5088370; 3294390; 2162824; 1145150
soc-sign-epinions.mtx; Matrix; Coordinate; General; 131828; 131828; 841372; Integer; -1; 1; 4; 4; 4; 10096464; 7112252; 5272958; 1907470
soc-sign-Slashdot081106.mtx; Matrix; Coordinate; General; 77357; 77357; 516575; Integer; -1; 1; 4; 4; 4; 6198900; 4306000; 3191176; 1124876
soc-sign-Slashdot090216.mtx; Matrix; Coordinate; General; 81871; 81871; 545671; Integer; -1; 1; 4; 4; 4; 6548052; 4540864; 3370804; 1188120
soc-sign-Slashdot090221.mtx; Matrix; Coordinate; General; 82144; 82144; 549202; Integer; -1; 1; 4; 4; 4; 6590424; 4569796; 3392554; 1195746
soc-Slashdot0811.mtx; Matrix; Coordinate; General; 77360; 77360; 905468; Pattern; 1; 1; 4; 4; 2; 9054680; 5742076; 3810426; 1999490
soc-Slashdot0902.mtx; Matrix; Coordinate; General; 82168; 82168; 948464; Pattern; 1; 1; 4; 4; 2; 9484640; 6004552; 3993882; 2096954
spaceShuttleEntry_1.mtx; Matrix; Coordinate; Symmetric; 560; 560; 3605; Real; -28.5278; 176.828; 2; 2; 4; 57680; 42468; 42468; 21795
spaceStation_1.mtx; Matrix; Coordinate; Symmetric; 99; 99; 489; Real; -3.49512e+06; 2.35919e+06; 2; 2; 4; 7824; 5762; 5762; 4835
spaceStation_2.mtx; Matrix; Coordinate; Symmetric; 329; 329; 2999; Real; -195.156; 406.895; 2; 2; 4; 47984; 35562; 35562; 23928
spaceStation_3.mtx; Matrix; Coordinate; Symmetric; 467; 467; 2681; Real; -169.443; 144.284; 2; 2; 4; 42896; 31554; 31554; 16245
spaceStation_4.mtx; Matrix; Coordinate; Symmetric; 950; 950; 7079; Real; -109.642; 117.767; 2; 2; 4; 113264; 83658; 83658; 42780
sphere2.mtx; Matrix; Coordinate; Symmetric; 66; 66; 258; Pattern; 1; 1; 2; 2; 2; 3096; 2198; 2198; 1166
sphere3.mtx; Matrix; Coordinate; Symmetric; 258; 258; 1026; Pattern; 1; 1; 2; 2; 2; 12312; 8726; 8726; 4622
steam1.mtx; Matrix; Coordinate; General; 240; 240; 3762; Real; -2.1712e+07; 23889.5; 2; 2; 4; 30096; 23054; 23054; 15530
steam2.mtx; Matrix; Coordinate; General; 600; 600; 13760; Real; -4.68559e+09; 5.7578e+06; 2; 2; 4; 110080; 83762; 83762; 70002
steam3.mtx; Matrix; Coordinate; General; 80; 80; 928; Real; -1.73857e+10; 2.10148e+07; 2; 2; 4; 7424; 5730; 5730; 5730
Stranke94.mtx; Matrix; Coordinate; Symmetric; 10; 10; 45; Integer; -254; 235; 2; 2; 4; 720; 562; 562; 292
str_0.mtx; Matrix; Coordinate; General; 363; 363; 2454; Real; -3; 9.38697; 2; 2; 4; 19632; 15452; 15452; 8090
str_200.mtx; Matrix; Coordinate; General; 363; 363; 3068; Real; -3; 9.71206; 2; 2; 4; 24544; 19136; 19136; 9932
str_400.mtx; Matrix; Coordinate; General; 363; 363; 3157; Real; -3; 9.85263; 2; 2; 4; 25256; 19670; 19670; 10199
str_600.mtx; Matrix; Coordinate; General; 363; 363; 3279; Real; -3; 9.85263; 2; 2; 4; 26232; 20402; 20402; 10565
sx-askubuntu.mtx; Matrix; Coordinate; General; 159316; 159316; 596933; Integer; 1; 1564; 4; 4; 4; 7163196; 5258740; 3879038; 2685172
t3dh.mtx; Matrix; Coordinate; Symmetric; 79171; 79171; 2215638; Real; -1.54951; 0.774741; 4; 4; 4; 53175312; 35133528; 26282576; 8874156
t3dh_a.mtx; Matrix; Coordinate; Symmetric; 79171; 79171; 2215638; Real; -1.54951; 0.774741; 4; 4; 4; 53175312; 35133528; 26282576; 8874156
t3dh_e.mtx; Matrix; Coordinate; Symmetric; 79171; 79171; 2215638; Real; -2.66227e-07; 5.07265e-07; 4; 4; 4; 53175312; 35133528; 26282576; 8874156
tandem_dual.mtx; Matrix; Coordinate; Symmetric; 94069; 94069; 277281; Pattern; 1; 1; 4; 4; 2; 5545620; 3703652; 2438718; 1329594
TEM152078.mtx; Matrix; Coordinate; Symmetric; 152078; 152078; 3305702; Real; -8.34413e+06; 1.20586e+07; 4; 4; 4; 79336848; 52282924; 39110958; 32651632
TF10.mtx; Matrix; Coordinate; General; 99; 107; 622; Integer; 1; 9; 2; 2; 4; 4976; 3932; 3932; 2066
TF11.mtx; Matrix; Coordinate; General; 216; 236; 1607; Integer; 1; 10; 2; 2; 4; 12856; 10076; 10076; 5255
TF12.mtx; Matrix; Coordinate; General; 488; 552; 4231; Integer; 1; 11; 2; 2; 4; 33848; 26364; 26364; 13671
TF18.mtx; Matrix; Coordinate; General; 95368; 123867; 1597545; Integer; 1; 17; 4; 4; 4; 19170540; 13161836; 9838474; 5045839
thermal1.mtx; Matrix; Coordinate; Symmetric; 82654; 82654; 328556; Real; -1.59283; 4.80401; 4; 4; 4; 7885344; 4926284; 3633814; 1910440
thermomech_TC.mtx; Matrix; Coordinate; Symmetric; 102158; 102158; 406858; Real; 0.000115803; 0.0212566; 4; 4; 4; 9764592; 6101100; 4578178; 1731946
thermomech_TK.mtx; Matrix; Coordinate; Symmetric; 102158; 102158; 406858; Real; -75.3746; 195.635; 4; 4; 4; 9764592; 6101100; 4578178; 2443504
