ElapsedS; File; Object; Format; Symmetry; Rows; Columns; NonzeroEntries; FieldType; MinValue; MaxValue; Coordinate_RIB; Coordinate_CIB; Coordinate_VB; Coordinate_Bytes; CSR_Bytes; CSR_Timing; SCSR_Bytes; SCSR_Timing; SCSR+_Bytes; CSC_Bytes; SCSC_Bytes; SCSC+_Bytes
0; lp_agg2.mtx; Matrix; Coordinate; General; 516; 758; 4740; Real; -2.43911; 424; 2; 2; 4; 37920; 29474; 47; 29474; 89; 19994; 37922; 37922; 28442
0; lp_agg3.mtx; Matrix; Coordinate; General; 516; 758; 4756; Real; -2.43911; 424; 2; 2; 4; 38048; 29570; 62; 29570; 123; 20058; 38050; 38050; 28538
0; lp_bandm.mtx; Matrix; Coordinate; General; 305; 472; 2494; Real; -104; 200; 2; 2; 4; 19952; 15576; 88; 15576; 167; 8094; 19954; 19954; 12472
0; lp_beaconfd.mtx; Matrix; Coordinate; General; 173; 295; 3408; Real; -100; 500; 2; 2; 4; 27264; 20796; 119; 20796; 162; 13980; 27266; 27266; 20450
0; lp_blend.mtx; Matrix; Coordinate; General; 74; 114; 522; Real; -14; 66; 2; 2; 4; 4176; 3282; 8; 3282; 15; 1716; 4180; 4180; 2614
0; lp_bore3d.mtx; Matrix; Coordinate; General; 233; 334; 1448; Real; -1426.9; 90.9; 2; 2; 4; 11584; 9156; 23; 9156; 37; 4812; 11588; 11588; 7244
0; lp_brandy.mtx; Matrix; Coordinate; General; 220; 303; 2202; Real; -60; 203.7; 2; 2; 4; 17616; 13652; 44; 13652; 96; 7046; 17620; 17620; 11014
0; lp_capri.mtx; Matrix; Coordinate; General; 271; 482; 1896; Real; -17.0784; 217.745; 2; 2; 4; 15168; 11920; 23; 11920; 53; 6232; 15134; 15134; 9446
0; lp_degen2.mtx; Matrix; Coordinate; General; 444; 757; 4201; Integer; -1; 1; 2; 2; 4; 33608; 26096; 161; 26096; 102; 9292; 33610; 33610; 16806
0; lp_e226.mtx; Matrix; Coordinate; General; 223; 472; 2768; Real; -1486.2; 771; 2; 2; 4; 22144; 17056; 58; 17056; 88; 11520; 22146; 22146; 16610
0; lp_etamacro.mtx; Matrix; Coordinate; General; 400; 816; 2537; Real; -1000; 2000; 2; 2; 4; 20296; 16024; 20; 16024; 59; 10950; 20300; 20300; 15226
0; lp_grow15.mtx; Matrix; Coordinate; General; 300; 645; 5620; Real; -1; 1; 2; 2; 4; 44960; 34322; 61; 34322; 120; 11842; 44962; 44962; 22482
0; lp_grow22.mtx; Matrix; Coordinate; General; 440; 946; 8252; Real; -1; 1; 2; 2; 4; 66016; 50394; 87; 50394; 174; 17386; 66018; 66018; 33010
0; lp_grow7.mtx; Matrix; Coordinate; General; 140; 301; 2612; Real; -1; 1; 2; 2; 4; 20896; 15954; 31; 15954; 56; 5506; 20898; 20898; 10450
0; lp_israel.mtx; Matrix; Coordinate; General; 174; 316; 2443; Real; -1600; 1600; 2; 2; 4; 19544; 15008; 47; 15008; 426; 10122; 19546; 19546; 14660
0; lp_kb2.mtx; Matrix; Coordinate; General; 43; 68; 313; Real; -107.52; 113; 2; 2; 4; 2504; 1966; 3; 1966; 5; 1027; 2508; 2508; 1569
0; lp_ken_18.mtx; Matrix; Coordinate; General; 105127; 154699; 358171; Integer; -1; 1; 4; 4; 4; 4298052; 3285880; 5928; 2779556; 9248; 1346872; 4298056; 2863446; 1430762
0; lp_lotfi.mtx; Matrix; Coordinate; General; 153; 366; 1136; Real; -475; 1000; 2; 2; 4; 9088; 7124; 27; 7124; 43; 4852; 9092; 9092; 6820
0; lp_nug05.mtx; Matrix; Coordinate; General; 210; 225; 1050; Integer; -1; 1; 2; 2; 4; 8400; 6722; 9; 6722; 15; 2522; 8402; 8402; 4202
0; lp_nug06.mtx; Matrix; Coordinate; General; 372; 486; 2232; Integer; -1; 1; 2; 2; 4; 17856; 14138; 15; 14138; 39; 5210; 17858; 17858; 8930
0; lp_nug07.mtx; Matrix; Coordinate; General; 602; 931; 4214; Integer; -1; 1; 2; 2; 4; 33712; 26490; 28; 26490; 75; 9634; 33714; 33714; 16858
0; lp_recipe.mtx; Matrix; Coordinate; General; 91; 204; 687; Real; -93; 145; 2; 2; 4; 5496; 4306; 7; 4306; 12; 2245; 5500; 5500; 3439
0; lp_sc105.mtx; Matrix; Coordinate; General; 105; 163; 340; Real; -1; 2; 2; 2; 4; 2720; 2252; 2; 2252; 6; 1232; 2722; 2722; 1702
0; lp_sc205.mtx; Matrix; Coordinate; General; 205; 317; 665; Real; -1; 2; 2; 2; 4; 5320; 4402; 4; 4402; 12; 2407; 5322; 5322; 3327
0; lp_sc50a.mtx; Matrix; Coordinate; General; 50; 78; 160; Real; -1; 2; 2; 2; 4; 1280; 1062; 1; 1062; 4; 582; 1282; 1282; 802
0; lp_sc50b.mtx; Matrix; Coordinate; General; 50; 78; 148; Real; -1; 3; 2; 2; 4; 1184; 990; 1; 990; 3; 546; 1186; 1186; 742
0; lp_scagr25.mtx; Matrix; Coordinate; General; 471; 671; 1725; Real; -9.32; 1.5; 2; 2; 4; 13800; 11294; 9; 11294; 23; 4394; 13758; 13758; 6858
0; lp_scagr7.mtx; Matrix; Coordinate; General; 129; 185; 465; Real; -9.32; 1.5; 2; 2; 4; 3720; 3050; 4; 3050; 10; 1190; 3714; 3714; 1854
0; lp_scfxm1.mtx; Matrix; Coordinate; General; 330; 600; 2732; Real; -130; 99; 2; 2; 4; 21856; 17054; 45; 17054; 85; 8858; 21860; 21860; 13664
0; lp_scorpion.mtx; Matrix; Coordinate; General; 388; 466; 1534; Real; -1; 1; 2; 2; 4; 12272; 9982; 14; 9982; 32; 3846; 12262; 12262; 6126
0; lp_scsd1.mtx; Matrix; Coordinate; General; 77; 760; 2388; Real; -1; 1; 2; 2; 4; 19104; 14484; 56; 14484; 82; 4932; 19106; 19106; 9554
0; lp_sctap1.mtx; Matrix; Coordinate; General; 300; 660; 1872; Integer; -33; 80; 2; 2; 4; 14976; 11834; 19; 11834; 32; 6218; 14978; 14978; 9362
0; lp_share1b.mtx; Matrix; Coordinate; General; 117; 253; 1179; Real; -479.56; 1322.23; 2; 2; 4; 9432; 7310; 20; 7310; 38; 4952; 9436; 9436; 7078
0; lp_share2b.mtx; Matrix; Coordinate; General; 96; 162; 777; Real; -103; 101; 2; 2; 4; 6216; 4856; 9; 4856; 20; 2525; 6218; 6218; 3887
0; lp_stair.mtx; Matrix; Coordinate; General; 356; 614; 4003; Real; -3; 9.85263; 2; 2; 4; 32024; 24732; 55; 24732; 124; 12723; 32028; 32028; 20019
0; lp_stocfor1.mtx; Matrix; Coordinate; General; 117; 165; 501; Real; -1; 336.6; 2; 2; 4; 4008; 3242; 5; 3242; 12; 2240; 4010; 4010; 3008
0; lp_tuff.mtx; Matrix; Coordinate; General; 333; 628; 4561; Real; -240; 10000; 2; 2; 4; 36488; 28034; 130; 28034; 289; 18912; 36490; 36490; 27368
0; lp_vtp_base.mtx; Matrix; Coordinate; General; 198; 346; 1051; Real; -300; 4000; 2; 2; 4; 8408; 6704; 9; 6704; 18; 4602; 8412; 8412; 6310
0; lshp_265.mtx; Matrix; Coordinate; Symmetric; 265; 265; 1009; Pattern; 1; 1; 2; 2; 2; 12108; 8604; 15; 8604; 35; 4568; 11580; 11580; 7544
0; lshp_406.mtx; Matrix; Coordinate; Symmetric; 406; 406; 1561; Pattern; 1; 1; 2; 2; 2; 18732; 13302; 65; 13302; 140; 7058; 17922; 17922; 11678
0; lshp_577.mtx; Matrix; Coordinate; Symmetric; 577; 577; 2233; Pattern; 1; 1; 2; 2; 2; 26796; 19020; 48; 19020; 99; 10088; 25644; 25644; 16712
0; lshp_778.mtx; Matrix; Coordinate; Symmetric; 778; 778; 3025; Pattern; 1; 1; 2; 2; 2; 36300; 25758; 55; 25758; 98; 13658; 34746; 34746; 22646
0; lund_a.mtx; Matrix; Coordinate; Symmetric; 147; 147; 1298; Real; -1.21795e+07; 1.5e+08; 2; 2; 4; 20768; 14990; 28; 14990; 68; 14990; 19594; 19594; 19594
0; lund_b.mtx; Matrix; Coordinate; Symmetric; 147; 147; 1294; Real; -714.286; 3775.51; 2; 2; 4; 20704; 14942; 25; 14942; 98; 10060; 19530; 19530; 14648
3; lung2.mtx; Matrix; Coordinate; General; 109460; 109460; 492564; Real; -248.922; 262.578; 4; 4; 4; 5910768; 4378356; 2927; 3391752; 6566; 2406624; 5910772; 3940210; 2955082
0; luxembourg_osm.mtx; Matrix; Coordinate; Symmetric; 114599; 114599; 119666; Pattern; 1; 1; 4; 4; 2; 2393320; 1894392; 1343; 1415726; 2878; 937062; 2392068; 1435048; 956384
0; M10PI_n.mtx; Matrix; Coordinate; General; 682; 682; 1633; Real; -66.7931; 1.0305; 2; 2; 4; 13064; 11164; 10; 11164; 28; 4632; 13068; 13068; 6536
0; M10PI_n1.mtx; Matrix; Coordinate; General; 528; 528; 1317; Real; -2.93035; 1.0305; 2; 2; 4; 10536; 8960; 9; 8960; 23; 3692; 10540; 10540; 5272
0; ma2010.mtx; Matrix; Coordinate; Symmetric; 157508; 157508; 388305; Integer; 39; 7.01832e+06; 4; 4; 4; 9319320; 6842916; 6897; 5601656; 13159; 4825046; 9317964; 6211678; 5435068
8; majorbasis.mtx; Matrix; Coordinate; General; 160000; 160000; 1750416; Real; -41.0564; 99.9605; 4; 4; 4; 21004992; 14643332; 9892; 11411846; 21051; 6160598; 21004996; 14003352; 8752104
0; Maragal_1.mtx; Matrix; Coordinate; General; 32; 14; 234; Real; -1.65679; 1.94681; 2; 2; 4; 1872; 1470; 3; 1470; 6; 534; 1872; 1872; 936
0; Maragal_2.mtx; Matrix; Coordinate; General; 555; 350; 4357; Real; -2.61698; 2.11915; 2; 2; 4; 34856; 27254; 84; 27254; 158; 14183; 34816; 34816; 21745
13; matrix-new_3.mtx; Matrix; Coordinate; General; 125329; 125329; 2678750; Real; -1; 1; 4; 4; 4; 32145000; 21931320; 68159; 16573822; 85864; 5858822; 32145004; 21426356; 10711356
11; matrix_9.mtx; Matrix; Coordinate; General; 103430; 103430; 2121550; Real; -1; 1; 4; 4; 4; 25458600; 17386124; 24025; 13143028; 42623; 4656828; 25458604; 16972412; 8486212
0; mbeacxc.mtx; Matrix; Coordinate; General; 496; 496; 49920; Real; -0.0248691; 0.74266; 2; 2; 4; 399360; 300506; 3761; 300506; 4156; 100826; 399362; 399362; 199682
0; mbeaflw.mtx; Matrix; Coordinate; General; 496; 496; 49920; Real; -3.8; 15490.2; 2; 2; 4; 399360; 300506; 3766; 300506; 4298; 200666; 399362; 399362; 299522
0; mbeause.mtx; Matrix; Coordinate; General; 496; 496; 41063; Real; -3.9; 18108.6; 2; 2; 4; 328504; 247364; 3353; 247364; 3531; 165238; 328506; 328506; 246380
0; mcca.mtx; Matrix; Coordinate; General; 180; 180; 2659; Real; -1.54994e+19; 9.31139e+18; 2; 2; 4; 21272; 16316; 73; 16316; 111; 3489666608; 21274; 21274; 3489671566
0; mcfe.mtx; Matrix; Coordinate; General; 765; 765; 24382; Real; -1.23853e+17; 3.15284e+16; 2; 2; 4; 195056; 147824; 503; 147824; 730; 147824; 195058; 195058; 195058
