ElapsedS; File; Object; Format; Symmetry; Rows; Columns; NonzeroEntries; FieldType; MinValue; MaxValue; Coordinate_RIB; Coordinate_CIB; Coordinate_VB; Coordinate_Bytes; CSR_Bytes; CSR_Timing; SCSR_Bytes; SCSR_Timing; SCSR+_Bytes; CSC_Bytes; SCSC_Bytes; SCSC+_Bytes
0; n4c5-b1.mtx; Matrix; Coordinate; General; 105; 15; 210; Integer; -1; 1; 2; 2; 4; 1680; 1472; 2; 1472; 7; 632; 1684; 1684; 844
0; n4c5-b10.mtx; Matrix; Coordinate; General; 120; 630; 1320; Integer; -1; 1; 2; 2; 4; 10560; 8162; 24; 8162; 68; 2882; 10564; 10564; 5284
0; n4c5-b11.mtx; Matrix; Coordinate; General; 10; 120; 120; Integer; -1; 1; 2; 2; 4; 960; 742; 3; 742; 8; 262; 964; 964; 484
0; n4c5-b2.mtx; Matrix; Coordinate; General; 455; 105; 1365; Integer; -1; 1; 2; 2; 4; 10920; 9102; 14; 9102; 44; 3642; 10924; 10924; 5464
0; n4c6-b1.mtx; Matrix; Coordinate; General; 210; 21; 420; Integer; -1; 1; 2; 2; 4; 3360; 2942; 4; 2942; 14; 1262; 3364; 3364; 1684
6; n4c6-b11.mtx; Matrix; Coordinate; General; 69235; 132402; 830820; Integer; -1; 1; 4; 4; 4; 9969840; 6923504; 5855; 5209094; 15689; 1885814; 9969848; 6646580; 3323300
0; n4c6-b15.mtx; Matrix; Coordinate; General; 60; 920; 960; Integer; -1; 1; 2; 2; 4; 7680; 5882; 25; 5882; 54; 2042; 7684; 7684; 3844
7; n4c6-b7.mtx; Matrix; Coordinate; General; 163215; 104115; 1305720; Integer; -1; 1; 4; 4; 4; 15668640; 11098624; 7345; 8305186; 16196; 3082306; 15668648; 10445736; 5222856
3; ncvxqp3.mtx; Matrix; Coordinate; Symmetric; 75000; 75000; 274982; Real; -425000; 150000; 4; 4; 4; 6599568; 4299716; 3196; 3249792; 11097; 2749828; 5999572; 3999722; 3499758
3; ncvxqp7.mtx; Matrix; Coordinate; Symmetric; 87500; 87500; 312481; Real; -475000; 16660.2; 4; 4; 4; 7499544; 4949700; 3404; 3724780; 6873; 2574856; 6899548; 4599704; 3449780
4; nd2010.mtx; Matrix; Coordinate; Symmetric; 133769; 133769; 312973; Integer; 40; 6.7299e+06; 4; 4; 4; 7511352; 5542648; 5153; 4554984; 10598; 3929038; 7509640; 5005710; 4379764
103; nd24k.mtx; Matrix; Coordinate; Symmetric; 72000; 72000; 14393817; Real; -633.354; 1075; 4; 4; 4; 345451608; 230013076; 3064081; 172581812; 3610423; 115150544; 344587612; 229724984; 172293716
1; neos1.mtx; Matrix; Coordinate; General; 131581; 133473; 599590; Integer; -1; 1; 4; 4; 4; 7195080; 5323048; 2315; 4122860; 6239; 1724500; 7195084; 4795012; 2396652
1; neos2.mtx; Matrix; Coordinate; General; 132568; 134128; 685087; Integer; -1; 1; 4; 4; 4; 8221044; 6010972; 2744; 4637816; 8991; 1897468; 8221048; 5479394; 2739046
0; netz4504_dual.mtx; Matrix; Coordinate; Symmetric; 615; 615; 1171; Pattern; 1; 1; 2; 2; 2; 14052; 10600; 58; 10600; 29; 5916; 14054; 14054; 9370
0; nnc261.mtx; Matrix; Coordinate; General; 261; 261; 1500; Real; -230; 230; 2; 2; 4; 12000; 9524; 30; 9524; 66; 5024; 12002; 12002; 7502
0; nnc666.mtx; Matrix; Coordinate; General; 666; 666; 4044; Real; -230; 230; 2; 2; 4; 32352; 25598; 32; 25598; 76; 13466; 32354; 32354; 20222
0; nos1.mtx; Matrix; Coordinate; Symmetric; 237; 237; 627; Integer; -6.144e+08; 1.2288e+09; 2; 2; 4; 10032; 6578; 6; 6578; 25; 6578; 8138; 8138; 8138
0; nos2.mtx; Matrix; Coordinate; Symmetric; 957; 957; 2547; Real; -3.93216e+10; 7.86432e+10; 2; 2; 4; 40752; 26738; 22; 26738; 60; 26738; 33098; 33098; 33098
0; nos3.mtx; Matrix; Coordinate; Symmetric; 960; 960; 8402; Real; -107.898; 264.379; 2; 2; 4; 134432; 96986; 219; 96986; 391; 65298; 126754; 126754; 95066
0; nos4.mtx; Matrix; Coordinate; Symmetric; 100; 100; 347; Real; -0.2; 0.435777; 2; 2; 4; 5552; 3766; 15; 3766; 12; 1390; 4754; 4754; 2378
0; nos5.mtx; Matrix; Coordinate; Symmetric; 468; 468; 2820; Real; -115200; 427200; 2; 2; 4; 45120; 31970; 132; 31970; 265; 26798; 41378; 41378; 36206
0; nos6.mtx; Matrix; Coordinate; Symmetric; 675; 675; 1965; Real; -1e+06; 4e+06; 2; 2; 4; 31440; 20882; 25; 20882; 40; 17627; 26042; 26042; 22787
0; nos7.mtx; Matrix; Coordinate; Symmetric; 729; 729; 2673; Real; -1e+06; 6e+06; 2; 2; 4; 42768; 29162; 33; 29162; 77; 24545; 36938; 36938; 32321
0; nsic.mtx; Matrix; Coordinate; General; 465; 897; 3449; Integer; -500640; 1; 2; 2; 4; 27592; 21626; 54; 21626; 288; 7830; 27596; 27596; 13800
13; nv1.mtx; Matrix; Coordinate; General; 75468; 75468; 2449194; Real; -1.8616e+16; 1.36725e+16; 4; 4; 4; 29390328; 19895428; 38414; 14997044; 66894; 14997044; 29390332; 19593520; 19593520
0; nv2010.mtx; Matrix; Coordinate; Symmetric; 84538; 84538; 208499; Integer; 22; 8.97053e+06; 4; 4; 4; 5003976; 3674140; 3815; 2840134; 7232; 2423136; 5002884; 3335112; 2918114
0; odepa400.mtx; Matrix; Coordinate; General; 400; 400; 1201; Real; -2; 4; 2; 2; 4; 9608; 8008; 8; 8008; 22; 4405; 9610; 9610; 6007
0; odepb400.mtx; Matrix; Coordinate; Symmetric; 400; 400; 399; Real; 1.33e-14; 2.66e-14; 2; 2; 4; 6384; 3194; 2; 3194; 7; 1598; 3194; 3194; 1598
10; oilpan.mtx; Matrix; Coordinate; Symmetric; 73752; 73752; 1835470; Real; -1.26137e+07; 1.27155e+07; 4; 4; 4; 44051280; 29072516; 83167; 21866776; 125361; 18269588; 43166260; 28777488; 25180300
2; olesnik0.mtx; Matrix; Coordinate; Symmetric; 88263; 88263; 402623; Real; -221.25; 650.208; 4; 4; 4; 9662952; 6306784; 4402; 4763890; 10936; 3275458; 8930508; 5952578; 4464146
0; olm100.mtx; Matrix; Coordinate; General; 100; 100; 396; Real; -474.366; 237.183; 2; 2; 4; 3168; 2578; 2; 2578; 5; 1390; 3170; 3170; 1982
0; olm1000.mtx; Matrix; Coordinate; General; 1000; 1000; 3996; Real; -45777.1; 22888.5; 2; 2; 4; 31968; 25978; 17; 25978; 44; 17986; 31970; 31970; 23978
0; olm500.mtx; Matrix; Coordinate; General; 500; 500; 1996; Real; -11490; 5745; 2; 2; 4; 15968; 12978; 11; 12978; 32; 8986; 15970; 15970; 11978
0; onera_dual.mtx; Matrix; Coordinate; Symmetric; 85567; 85567; 252384; Pattern; 1; 1; 4; 4; 2; 5047680; 3370880; 3121; 2361348; 7092; 1351812; 4705416; 2857116; 1847580
0; orbitRaising_1.mtx; Matrix; Coordinate; Symmetric; 442; 442; 1573; Real; -44.8711; 387.707; 2; 2; 4; 25168; 18322; 23; 18322; 57; 12510; 23250; 23250; 17438
0; orbitRaising_2.mtx; Matrix; Coordinate; Symmetric; 739; 739; 3464; Real; -26.9345; 45.3421; 2; 2; 4; 55424; 40636; 103; 40636; 115; 21058; 52210; 52210; 32632
0; orbitRaising_3.mtx; Matrix; Coordinate; Symmetric; 761; 761; 3256; Real; -26.9331; 100.933; 2; 2; 4; 52096; 38112; 65; 38112; 135; 19818; 48786; 48786; 30492
0; orbitRaising_4.mtx; Matrix; Coordinate; Symmetric; 915; 915; 4144; Real; -26.9346; 106.297; 2; 2; 4; 66304; 48572; 70; 48572; 149; 25202; 62322; 62322; 38952
0; orsirr_2.mtx; Matrix; Coordinate; General; 886; 886; 5970; Real; -267560; 266667; 2; 2; 4; 47760; 37594; 33; 37594; 76; 31624; 47762; 47762; 41792
0; oscil_dcop_01.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 10; 10126; 23; 8582; 12354; 12354; 10810
0; oscil_dcop_02.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 14; 10126; 32; 8582; 12354; 12354; 10810
0; oscil_dcop_03.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 14; 10126; 32; 8582; 12354; 12354; 10810
0; oscil_dcop_04.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 29; 10126; 68; 8582; 12354; 12354; 10810
0; oscil_dcop_05.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 9; 10126; 22; 8582; 12354; 12354; 10810
0; oscil_dcop_06.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 30; 10126; 67; 8582; 12354; 12354; 10810
0; oscil_dcop_07.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 13; 10126; 25; 8582; 12354; 12354; 10810
0; oscil_dcop_08.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 9; 10126; 22; 8582; 12354; 12354; 10810
0; oscil_dcop_09.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 9; 10126; 24; 8582; 12354; 12354; 10810
0; oscil_dcop_10.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 10; 10126; 23; 8582; 12354; 12354; 10810
0; oscil_dcop_11.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 12; 10126; 24; 8582; 12354; 12354; 10810
0; oscil_dcop_12.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 16; 10126; 30; 8582; 12354; 12354; 10810
0; oscil_dcop_13.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 30; 10126; 98; 8582; 12354; 12354; 10810
0; oscil_dcop_14.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 10; 10126; 31; 8582; 12354; 12354; 10810
0; oscil_dcop_15.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 9; 10126; 26; 8582; 12354; 12354; 10810
0; oscil_dcop_16.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 12; 10126; 38; 8582; 12354; 12354; 10810
0; oscil_dcop_17.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 26; 10126; 59; 8582; 12354; 12354; 10810
0; oscil_dcop_18.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 15; 10126; 34; 8582; 12354; 12354; 10810
0; oscil_dcop_19.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 15; 10126; 34; 8582; 12354; 12354; 10810
0; oscil_dcop_20.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 14; 10126; 32; 8582; 12354; 12354; 10810
0; oscil_dcop_21.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 12; 10126; 27; 8582; 12354; 12354; 10810
0; oscil_dcop_22.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 14; 10126; 34; 8582; 12354; 12354; 10810
0; oscil_dcop_23.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 12; 10126; 25; 8582; 12354; 12354; 10810
0; oscil_dcop_24.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 13; 10126; 32; 8582; 12354; 12354; 10810
0; oscil_dcop_25.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 14; 10126; 32; 8582; 12354; 12354; 10810
0; oscil_dcop_26.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 14; 10126; 32; 8582; 12354; 12354; 10810
0; oscil_dcop_27.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 14; 10126; 32; 8582; 12354; 12354; 10810
0; oscil_dcop_28.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 14; 10126; 32; 8582; 12354; 12354; 10810
0; oscil_dcop_29.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 14; 10126; 32; 8582; 12354; 12354; 10810
0; oscil_dcop_30.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 14; 10126; 30; 8582; 12354; 12354; 10810
0; oscil_dcop_31.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 14; 10126; 32; 8582; 12354; 12354; 10810
0; oscil_dcop_32.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 11; 10126; 22; 8582; 12354; 12354; 10810
0; oscil_dcop_33.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 23; 10126; 31; 8582; 12354; 12354; 10810
0; oscil_dcop_34.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 15; 10126; 34; 8582; 12354; 12354; 10810
0; oscil_dcop_35.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 14; 10126; 32; 8582; 12354; 12354; 10810
0; oscil_dcop_36.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 11; 10126; 26; 8582; 12354; 12354; 10810
0; oscil_dcop_37.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 14; 10126; 31; 8582; 12354; 12354; 10810
0; oscil_dcop_38.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 30; 10126; 77; 8582; 12354; 12354; 10810
0; oscil_dcop_39.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 12; 10126; 32; 8582; 12354; 12354; 10810
0; oscil_dcop_40.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 14; 10126; 33; 8582; 12354; 12354; 10810
0; oscil_dcop_41.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 14; 10126; 32; 8582; 12354; 12354; 10810
0; oscil_dcop_42.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 22; 10126; 32; 8582; 12354; 12354; 10810
0; oscil_dcop_43.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 14; 10126; 31; 8582; 12354; 12354; 10810
0; oscil_dcop_44.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 12; 10126; 29; 8582; 12354; 12354; 10810
0; oscil_dcop_45.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 21; 10126; 32; 8582; 12354; 12354; 10810
0; oscil_dcop_46.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 11; 10126; 28; 8582; 12354; 12354; 10810
0; oscil_dcop_47.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 31; 10126; 69; 8582; 12354; 12354; 10810
0; oscil_dcop_48.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 15; 10126; 41; 8582; 12354; 12354; 10810
0; oscil_dcop_49.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 31; 10126; 31; 8582; 12354; 12354; 10810
0; oscil_dcop_50.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 15; 10126; 30; 8582; 12354; 12354; 10810
0; oscil_dcop_51.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 14; 10126; 32; 8582; 12354; 12354; 10810
0; oscil_dcop_52.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 13; 10126; 27; 8582; 12354; 12354; 10810
0; oscil_dcop_53.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 15; 10126; 32; 8582; 12354; 12354; 10810
0; oscil_dcop_54.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 14; 10126; 32; 8582; 12354; 12354; 10810
0; oscil_dcop_55.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 12; 10126; 30; 8582; 12354; 12354; 10810
0; oscil_dcop_56.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 10; 10126; 23; 8582; 12354; 12354; 10810
0; oscil_dcop_57.mtx; Matrix; Coordinate; General; 430; 430; 1544; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12352; 10126; 13; 10126; 28; 8582; 12354; 12354; 10810
0; oscil_trans_01.mtx; Matrix; Coordinate; General; 430; 430; 1614; Real; -1e+06; 1.00201e+06; 2; 2; 4; 12912; 10546; 14; 10546; 33; 8932; 12906; 12906; 11292
0; p0033.mtx; Matrix; Coordinate; General; 15; 48; 113; Integer; -400; 400; 2; 2; 4; 904; 710; 2; 710; 5; 484; 906; 906; 680
0; p0040.mtx; Matrix; Coordinate; General; 23; 63; 133; Integer; -2220; 1; 2; 2; 4; 1064; 846; 1; 846; 3; 314; 1066; 1066; 534
0; p0201.mtx; Matrix; Coordinate; General; 133; 334; 2056; Integer; -64; 64; 2; 2; 4; 16448; 12604; 44; 12604; 77; 6436; 16450; 16450; 10282
0; p0282.mtx; Matrix; Coordinate; General; 241; 523; 2207; Integer; -204; 4; 2; 2; 4; 17656; 13726; 33; 13726; 51; 7105; 17658; 17658; 11037
0; p0291.mtx; Matrix; Coordinate; General; 252; 543; 2283; Real; -52; 20.4; 2; 2; 4; 18264; 14204; 28; 14204; 52; 7355; 18266; 18266; 11417
0; p0548.mtx; Matrix; Coordinate; General; 176; 724; 1887; Integer; -9999; 9999; 2; 2; 4; 15096; 11676; 29; 11676; 54; 7902; 15098; 15098; 11324
29; para-10.mtx; Matrix; Coordinate; General; 155924; 155924; 5416358; Real; -6.56319e+11; 6.44163e+11; 4; 4; 4; 64996296; 43954564; 101998; 33433700; 100428; 33433700; 64996300; 43325694; 43325694
28; para-4.mtx; Matrix; Coordinate; General; 153226; 153226; 5326228; Real; -6.56319e+11; 6.44163e+11; 4; 4; 4; 63914736; 43222732; 92889; 32876742; 97338; 32876742; 63914740; 42604764; 42604764
28; para-5.mtx; Matrix; Coordinate; General; 155924; 155924; 5416358; Real; -6.56319e+11; 6.44163e+11; 4; 4; 4; 64996296; 43954564; 99025; 33433700; 98781; 33433700; 64996300; 43325694; 43325694
27; para-6.mtx; Matrix; Coordinate; General; 155924; 155924; 5416358; Real; -6.56319e+11; 6.44163e+11; 4; 4; 4; 64996296; 43954564; 98585; 33433700; 136201; 33433700; 64996300; 43325694; 43325694
28; para-7.mtx; Matrix; Coordinate; General; 155924; 155924; 5416358; Real; -6.56319e+11; 6.44163e+11; 4; 4; 4; 64996296; 43954564; 99545; 33433700; 138651; 33433700; 64996300; 43325694; 43325694
27; para-8.mtx; Matrix; Coordinate; General; 155924; 155924; 5416358; Real; -2.90982e+12; 2.90696e+12; 4; 4; 4; 64996296; 43954564; 97684; 33433700; 101665; 33433700; 64996300; 43325694; 43325694
29; para-9.mtx; Matrix; Coordinate; General; 155924; 155924; 5416358; Real; -1.13002e+12; 1.12718e+12; 4; 4; 4; 64996296; 43954564; 100702; 33433700; 156728; 33433700; 64996300; 43325694; 43325694
0; pde225.mtx; Matrix; Coordinate; General; 225; 225; 1065; Real; -2.73227; 5.65078; 2; 2; 4; 8520; 6842; 5; 6842; 12; 3647; 8522; 8522; 5327
0; pde900.mtx; Matrix; Coordinate; General; 900; 900; 4380; Real; -2.51159; 5.88725; 2; 2; 4; 35040; 28082; 20; 28082; 70; 14942; 35042; 35042; 21902
0; pfinan512.mtx; Matrix; Coordinate; Symmetric; 74752; 74752; 335872; Pattern; 1; 1; 4; 4; 2; 6717440; 4329476; 5284; 2985992; 19512; 1642504; 6418436; 3880936; 2537448
0; pivtol.mtx; Matrix; Coordinate; General; 102; 102; 306; Real; -1; 1; 2; 2; 4; 2448; 2042; 1; 2042; 3; 818; 2450; 2450; 1226
3; pkustk10.mtx; Matrix; Coordinate; Symmetric; 80676; 80676; 2194830; Pattern; 1; 1; 4; 4; 2; 43896600; 26660668; 127632; 17881352; 165245; 9102032; 43573900; 26176620; 17397300
4; pkustk11.mtx; Matrix; Coordinate; Symmetric; 87804; 87804; 2652858; Pattern; 1; 1; 4; 4; 2; 53057160; 32185516; 157754; 21574088; 206875; 10962656; 52705948; 31658700; 21047268
6; pkustk12.mtx; Matrix; Coordinate; Symmetric; 94653; 94653; 3803485; Pattern; 1; 1; 4; 4; 2; 76069700; 46020436; 655056; 30806500; 743727; 15592560; 75691092; 45452526; 30238586
8; pkustk13.mtx; Matrix; Coordinate; Symmetric; 94893; 94893; 3355860; Pattern; 1; 1; 4; 4; 2; 67117200; 40649896; 205425; 27226460; 325095; 13803020; 66737632; 40080456; 26657016
12; pkustk14.mtx; Matrix; Coordinate; Symmetric; 151926; 151926; 7494215; Pattern; 1; 1; 4; 4; 2; 149884300; 90538288; 623790; 60792924; 1034234; 30816064; 149276600; 89626688; 59649828
0; plat362.mtx; Matrix; Coordinate; Symmetric; 362; 362; 3074; Real; -0.127298; 0.456552; 2; 2; 4; 49184; 35442; 43; 35442; 110; 12298; 46290; 46290; 23146
0; plskz362.mtx; Matrix; Coordinate; UnknownSymmetry; 362; 362; 880; Real; -0.373025; 0.353317; 2; 2; 4; 7040; 6006; 21; 6006; 55; 2486; 6848; 6848; 3328
0; poisson2D.mtx; Matrix; Coordinate; General; 367; 367; 2417; Real; -0.203596; 0.738402; 2; 2; 4; 19336; 15238; 23; 15238; 51; 5570; 19338; 19338; 9670
15; poisson3Db.mtx; Matrix; Coordinate; General; 85623; 85623; 2374949; Real; -0.471464; 0.622006; 4; 4; 4; 28499388; 19342088; 35376; 14592194; 55447; 5092398; 28499392; 18999584; 9499788
0; polbooks.mtx; Matrix; Coordinate; Symmetric; 105; 105; 441; Pattern; 1; 1; 2; 2; 2; 5292; 3740; 8; 3740; 36; 1976; 5296; 5296; 3532
0; pores_1.mtx; Matrix; Coordinate; General; 30; 30; 180; Real; -2.46134e+07; 1.29343e+07; 2; 2; 4; 1440; 1142; 2; 1142; 4; 962; 1442; 1442; 1262
0; pores_3.mtx; Matrix; Coordinate; General; 532; 532; 3474; Real; -99637.2; 50640.1; 2; 2; 4; 27792; 21910; 27; 21910; 64; 14962; 27794; 27794; 20846
14; power9.mtx; Matrix; Coordinate; General; 155376; 155376; 2512300; Real; -1.93338e+22; 1.05502e+22; 4; 4; 4; 30147600; 20719908; 37381; 15978588; 37037; 1079671212; 30147604; 20098426; 1083791050
55; PR02R.mtx; Matrix; Coordinate; General; 161070; 161070; 8185136; Real; -3.62808e+10; 4.60251e+10; 4; 4; 4; 98221632; 66125372; 201585; 50048338; 316536; 50048338; 98221636; 65481108; 65481108
0; preferentialAttachment.mtx; Matrix; Coordinate; Symmetric; 100000; 100000; 499985; Pattern; 1; 1; 4; 4; 2; 9999700; 6399824; 13795; 4399888; 20751; 2399948; 9999708; 5999832; 3999892
0; problem.mtx; Matrix; Coordinate; General; 12; 46; 86; Integer; -1; 1; 2; 2; 4; 688; 542; 3; 542; 6; 198; 690; 690; 346
0; problem1.mtx; Matrix; Coordinate; General; 415; 415; 2779; Real; -1.26459; 4.18141; 2; 2; 4; 22232; 17506; 25; 17506; 51; 9169; 22234; 22234; 13897
6; qa8fk.mtx; Matrix; Coordinate; Symmetric; 66127; 66127; 863353; Real; -0.0164737; 0.262243; 4; 4; 4; 20720472; 13549144; 17498; 10227990; 35978; 3585674; 19926952; 13284638; 6642322
6; qa8fm.mtx; Matrix; Coordinate; Symmetric; 66127; 66127; 863353; Real; 4.40296e-06; 0.000281789; 4; 4; 4; 20720472; 13549144; 18944; 10227990; 47504; 3585674; 19926952; 13284638; 6642322
0; qh768.mtx; Matrix; Coordinate; General; 768; 768; 2934; Real; -1.5809e+12; 1.3512e+13; 2; 2; 4; 23472; 19142; 17; 19142; 39; 19142; 23462; 23462; 23462
0; qh882.mtx; Matrix; Coordinate; General; 882; 882; 3354; Real; -8.1386e+11; 6.6841e+12; 2; 2; 4; 26832; 21890; 18; 21890; 42; 21890; 26822; 26822; 26822
0; QRpivot.mtx; Matrix; Coordinate; General; 660; 749; 3808; Real; -5.32247; 3; 2; 2; 4; 30464; 24170; 32; 24170; 73; 12746; 30450; 30450; 19026
0; Ragusa16.mtx; Matrix; Coordinate; General; 24; 24; 81; Integer; 1; 6; 2; 2; 4; 648; 536; 1; 536; 3; 293; 652; 652; 409
0; Ragusa18.mtx; Matrix; Coordinate; General; 23; 23; 64; Integer; 1; 4; 2; 2; 4; 512; 432; 1; 432; 2; 240; 514; 514; 322
2; rail_79841.mtx; Matrix; Coordinate; Symmetric; 79841; 79841; 316881; Real; -3.58984e-05; 1.29067e-05; 4; 4; 4; 7605144; 4750736; 2863; 3642896; 7106; 1427212; 6647056; 4429334; 2213650
