ElapsedS; File; Object; Format; Symmetry; Rows; Columns; NonzeroEntries; FieldType; MinValue; MaxValue; Coordinate_RIB; Coordinate_CIB; Coordinate_VB; Coordinate_Bytes; CSR_Bytes; SCSR_Bytes; SCSR+_Bytes; CSC_Bytes; SCSC_Bytes; SCSC+_Bytes
0; dwt_66.mtx; Matrix; Coordinate; Symmetric; 66; 66; 193; Pattern; 1; 1; 2; 2; 2; 2316; 1678; 1678; 906; 1678; 1678; 906
0; dwt_72.mtx; Matrix; Coordinate; Symmetric; 72; 72; 147; Pattern; 1; 1; 2; 2; 2; 1764; 1322; 1322; 734; 1322; 1322; 734
0; dwt_758.mtx; Matrix; Coordinate; Symmetric; 758; 758; 3376; Pattern; 1; 1; 2; 2; 2; 40512; 28526; 28526; 15022; 28526; 28526; 15022
0; dwt_869.mtx; Matrix; Coordinate; Symmetric; 869; 869; 4077; Pattern; 1; 1; 2; 2; 2; 48924; 34356; 34356; 18048; 34356; 34356; 18048
0; dwt_87.mtx; Matrix; Coordinate; Symmetric; 87; 87; 314; Pattern; 1; 1; 2; 2; 2; 3768; 2688; 2688; 1432; 2688; 2688; 1432
0; dwt_878.mtx; Matrix; Coordinate; Symmetric; 878; 878; 4163; Pattern; 1; 1; 2; 2; 2; 49956; 35062; 35062; 18410; 35062; 35062; 18410
0; dwt_918.mtx; Matrix; Coordinate; Symmetric; 918; 918; 4151; Pattern; 1; 1; 2; 2; 2; 49812; 35046; 35046; 18442; 35046; 35046; 18442
0; dwt_992.mtx; Matrix; Coordinate; Symmetric; 992; 992; 8868; Pattern; 1; 1; 2; 2; 2; 106416; 72930; 72930; 37458; 72930; 72930; 37458
0; dynamicSoaringProblem_1.mtx; Matrix; Coordinate; Symmetric; 647; 647; 2865; Real; -100; 237.143; 2; 2; 4; 45840; 33498; 33498; 17397; 33498; 33498; 17397
0; D_10.mtx; Matrix; Coordinate; General; 460; 816; 7614; Integer; -48; 24; 2; 2; 4; 60912; 46604; 46604; 23762; 47314; 47314; 24472
0; D_11.mtx; Matrix; Coordinate; General; 169; 461; 2952; Integer; -6; 6; 2; 2; 4; 23616; 18052; 18052; 9196; 18628; 18628; 9772
0; D_5.mtx; Matrix; Coordinate; General; 434; 115; 1832; Integer; -6; 18; 2; 2; 4; 14656; 11854; 11854; 6358; 11222; 11222; 5726
0; D_6.mtx; Matrix; Coordinate; General; 970; 435; 6491; Integer; -18; 64; 2; 2; 4; 51928; 40882; 40882; 21409; 39814; 39814; 20341
0; d_dyn.mtx; Matrix; Coordinate; General; 87; 87; 238; Real; -79.6894; 79.6894; 2; 2; 4; 1904; 1604; 1604; 890; 1604; 1604; 890
0; d_dyn1.mtx; Matrix; Coordinate; General; 87; 87; 238; Real; -25200; 25200; 2; 2; 4; 1904; 1604; 1604; 1128; 1604; 1604; 1128
0; d_ss.mtx; Matrix; Coordinate; General; 53; 53; 149; Real; -25200; 25200; 2; 2; 4; 1192; 1002; 1002; 704; 1002; 1002; 704
5; engine.mtx; Matrix; Coordinate; Symmetric; 143571; 143571; 2424822; Integer; 8; 8; 4; 4; 4; 58195728; 38222872; 28894736; 14776517; 38222872; 28894736; 14776517
0; enron.mtx; Matrix; Coordinate; General; 69244; 69244; 276143; Pattern; 1; 1; 4; 4; 2; 2761430; 1727138; 1140034; 587748; 1902362; 1227638; 675352
3; epb3.mtx; Matrix; Coordinate; General; 84617; 84617; 463625; Real; -0.344297; 0.435282; 4; 4; 4; 5563500; 4047472; 2951284; 1096784; 4047472; 2951808; 1097308
0; Erdos971.mtx; Matrix; Coordinate; Symmetric; 472; 472; 1314; Pattern; 1; 1; 2; 2; 2; 15768; 11380; 11380; 6124; 11380; 11380; 6124
0; Erdos981.mtx; Matrix; Coordinate; Symmetric; 485; 485; 1381; Pattern; 1; 1; 2; 2; 2; 16572; 11940; 11940; 6416; 11940; 11940; 6416
0; Erdos991.mtx; Matrix; Coordinate; Symmetric; 492; 492; 1417; Pattern; 1; 1; 2; 2; 2; 17004; 12246; 12246; 6578; 12246; 12246; 6578
0; ex1.mtx; Matrix; Coordinate; Symmetric; 560; 560; 4368; Pattern; 1; 1; 2; 2; 2; 52416; 36066; 36066; 18594; 36066; 36066; 18594
0; ex2.mtx; Matrix; Coordinate; Symmetric; 560; 560; 4368; Pattern; 1; 1; 2; 2; 2; 52416; 36066; 36066; 18594; 36066; 36066; 18594
0; ex21.mtx; Matrix; Coordinate; General; 656; 656; 19144; Real; -0.0324326; 0.478009; 2; 2; 4; 153152; 116178; 116178; 39602; 116178; 116178; 39602
0; ex22.mtx; Matrix; Coordinate; General; 839; 839; 22715; Real; -3.87512; 7.80955; 2; 2; 4; 181720; 137970; 137970; 69825; 137970; 137970; 69825
0; ex25.mtx; Matrix; Coordinate; General; 848; 848; 24612; Real; -0.173755; 0.351872; 2; 2; 4; 196896; 149370; 149370; 50922; 149370; 149370; 50922
0; ex27.mtx; Matrix; Coordinate; General; 974; 974; 40782; Real; -0.0706368; 0.156271; 2; 2; 4; 326256; 246642; 246642; 83514; 246642; 246642; 83514
0; ex5.mtx; Matrix; Coordinate; Symmetric; 27; 27; 153; Real; -1.18519e+06; 2.37038e+06; 2; 2; 4; 2448; 1730; 1730; 1451; 1730; 1730; 1451
17; F2.mtx; Matrix; Coordinate; Symmetric; 71505; 71505; 2682895; Real; -3.01713e+06; 5.53597e+06; 4; 4; 4; 64389480; 42640304; 31987074; 26692789; 42640304; 31987074; 26692789
0; farm.mtx; Matrix; Coordinate; General; 7; 17; 41; Integer; 1; 250; 2; 2; 4; 328; 262; 262; 139; 282; 282; 159
23; FEM_3D_thermal2.mtx; Matrix; Coordinate; General; 147900; 147900; 3489300; Real; -0.10315; 0.291773; 4; 4; 4; 41871600; 28506004; 21244184; 7286984; 28506004; 21244184; 7286984
0; fe_ocean.mtx; Matrix; Coordinate; Symmetric; 143437; 143437; 409593; Pattern; 1; 1; 4; 4; 2; 8191860; 5488868; 3617096; 1978724; 5488868; 3617096; 1978724
1; fe_rotor.mtx; Matrix; Coordinate; Symmetric; 99617; 99617; 662431; Pattern; 1; 1; 4; 4; 2; 13248620; 8347644; 5592614; 2942890; 8347644; 5592614; 2942890
